coolant_type,wall_material,hydraulic_diameter,channel_length,inlet_temperature,pressure,mass_flux,heat_flux,flow_velocity,wall_temp_mean,wall_temp_gradient,acoustic_rms,peak_frequency,bubble_detachment_freq,vapor_area_ratio,regime_label
lead_bismuth,zirconium,0.01677675576811577,1.229592580910467,688.9541724466933,14.685090555000516,809.9175550867271,657763.2583187154,1.926914425976041,322.9930941225747,129.13813368990768,3.649991554949852,3834.9481717106196,137.10560300216727,0.06057008316394452,0
helium,copper,0.016114045958239995,1.6497781927399753,403.43181726309973,14.058377083849427,732.5329828396663,89232.24406827727,2.244828468157139,320.22450829644396,80.48369885139641,0.9225599779935578,82.2557626747826,93.51419245048349,0.20320759326043114,0
water,inconel,0.045781456123446654,1.5682896736222862,823.4367380128889,2.8193297746037955,434.6924337554341,249906.5133392016,13.213487421497733,641.1391533407464,94.38182198291751,1.7331984718494309,2411.397191698567,11.141379138684826,0.4912632560812118,1
lead_bismuth,copper,0.016229578993227776,0.47701982844879265,667.8697434415449,18.5288756932102,1253.806673192827,775942.5530144583,9.99534390816534,339.91971940365204,143.3449565362901,3.3164031842890913,3979.8267806568197,183.70203013770998,0.36815023247537515,2
lead_bismuth,copper,0.017237737675788397,0.46864904553465303,394.32233013417255,11.800971840979573,1005.5859049663949,533398.9951420315,15.913097381224599,982.6821364904147,175.26120593335878,2.4104467226223996,3168.721367174699,196.0658265752762,0.4109122931328535,1
helium,zirconium,0.03917292180880837,0.6827138619408439,877.4028344887241,7.910784901578,1744.8318854156068,928689.3711691743,18.367281328198864,471.00431868814655,54.44376016795513,3.692855193174469,2396.612464564813,86.208683042367,0.7814473786256726,2
water,copper,0.025238292910274303,0.8499345074138671,611.0192780011923,15.374233086410827,161.0082029159107,434463.89425794076,8.073154114595177,641.4120159680945,68.41535919421415,4.806039506114298,3240.9779327014285,122.73216148186543,0.014679235067735275,0
water,zirconium,0.039951975062983154,0.9352200465352687,343.739071122993,5.889943709631047,1323.34906235474,871114.2421557838,12.129995518400602,361.57358840831205,186.14787927248253,0.5827334385759875,4539.382715585886,90.05972524874934,0.6604919263212388,3
lead_bismuth,steel,0.007941477090397336,1.4234549903000215,676.0997426490403,14.176686903880087,1549.6028691719662,454465.8831034551,10.263584242008543,674.9929229964557,115.70235848188908,3.5478385819903044,2853.5899130205266,64.37593017722412,0.00011023180182245795,0
sodium,steel,0.026940703715302296,0.30202477789850374,451.9193442076861,1.7545129438726972,1543.0244814577834,979455.7959149654,19.64140778502744,578.3701651002377,35.792363427000204,1.1517207781605725,4008.941647727526,15.463758571561526,0.0630585255762437,1
lead_bismuth,zirconium,0.006512612008247719,0.2624108676069195,782.2160711263814,16.948752714576166,1783.5405374814977,960236.037584888,16.706145943453606,350.36881963651217,132.73902778247654,2.0723836370378463,4904.676489864728,91.21354607945977,0.408286119837624,2
lead_bismuth,steel,0.007819394155490954,0.9054390132990362,790.6932441397144,9.515246093405052,1485.1641113760388,335845.3385005195,18.278885311408395,547.8845013534328,198.1524311078759,0.16431362897569912,3542.562600274055,163.6769112718903,0.8409485198048214,2
lead_bismuth,inconel,0.04578968540049849,1.454894645848365,887.3684135127971,13.097165372800893,1862.839117130623,887064.4337126352,5.459631707763282,586.1764937515418,164.69071289408,0.6795369114634947,2887.9625312508647,3.406292217600715,0.14499576556446048,1
